state,state_name,2019,,,,,,
CA,California,"39,512,223",812,,100000,395.12223,,
TX,Texas,"28,995,881",,,,,,
FL,Florida,"21,477,737",,,,,,
NY,New York,"19,453,561",,,,,,
PA,Pennsylvania,"12,801,989",,,,,,
IL,Illinois,"12,671,821",,,,,,
OH,Ohio,"11,689,100",,,,,2.055060278,100000
GA,Georgia,"10,617,423",,,,,812,"39,512,223"
NC,North Carolina,"10,488,084",,,,,,
MI,Michigan,"9,986,857",,,,,,
NJ,New Jersey,"8,882,190",,,,,,
VA,Virginia,"8,535,519",,,,,,
WA,Washington,"7,614,893",,,,,,
AZ,Arizona,"7,278,717",,,,,,
MA,Massachusetts,"6,892,503",,,,,,
TN,Tennessee,"6,829,174",,,,,,
IN,Indiana,"6,732,219",,,,,,
MO,Missouri,"6,137,428",,,,,,
MD,Maryland,"6,045,680",,,,,,
WI,Wisconsin,"5,822,434",,,,,,
CO,Colorado,"5,758,736",,,,,,
MN,Minnesota,"5,639,632",,,,,,
SC,South Carolina,"5,148,714",,,,,,
AL,Alabama,"4,903,185",,,,,,
LA,Louisiana,"4,648,794",,,,,,
KY,Kentucky,"4,467,673",,,,,,
OR,Oregon,"4,217,737",,,,,,
OK,Oklahoma,"3,956,971",,,,,,
CT,Connecticut,"3,565,287",,,,,,
UT,Utah,"3,205,958",,,,,,
IA,Iowa,"3,155,070",,,,,,
NV,Nevada,"3,080,156",,,,,,
AR,Arkansas,"3,017,804",,,,,,
MS,Mississippi,"2,976,149",,,,,,
KS,Kansas,"2,913,314",,,,,,
NM,New Mexico,"2,096,829",,,,,,
NE,Nebraska,"1,934,408",,,,,,
WV,West Virginia,"1,792,147",,,,,,
ID,Idaho,"1,787,065",,,,,,
HI,Hawaii,"1,415,872",,,,,,
NH,New Hampshire,"1,359,711",,,,,,
ME,Maine,"1,344,212",,,,,,
MT,Montana,"1,068,778",,,,,,
RI,Rhode Island,"1,059,361",,,,,,
DE,Delaware,"973,764",,,,,,
SD,South Dakota,"884,659",,,,,,
ND,North Dakota,"762,062",,,,,,
AK,Alaska,"731,545",,,,,,
DC,District of Columbia,"705,749",,,,,,
VT,Vermont,"623,989",,,,,,
WY,Wyoming,"578,759",,,,,,
